DATE,DIA US Equity,QQQ US Equity,SPY US Equity
2011-11-10,118.89,56.78,124.32
2011-11-11,121.53,57.85,126.66
2011-11-12,121.53,57.85,126.66
2011-11-13,121.53,57.85,126.66
2011-11-14,120.71,57.49,125.46
2011-11-15,120.87,58.13,126.083
2011-11-16,119.1,57.17,124.08
2011-11-17,117.83,55.83,122.105
2011-11-18,117.73,55.4,121.979
2011-11-19,117.73,55.4,121.979
2011-11-20,117.73,55.4,121.979
2011-11-21,115.16,54.34,119.661
2011-11-22,114.74,54.52,119.19
2011-11-23,112.33,53.29,116.56
2011-11-24,112.33,53.29,116.56
2011-11-25,112.14,52.88,116.34
2011-11-26,112.14,52.88,116.34
2011-11-27,112.14,52.88,116.34
2011-11-28,115.099,54.72,119.71
2011-11-29,115.56,54.38,120.05
2011-11-30,120.19,56.39,124.99
2011-12-01,120.13,56.78,124.97
2011-12-02,120.06,56.62,124.86
2011-12-03,120.06,56.62,124.86
2011-12-04,120.06,56.62,124.86
2011-12-05,120.95,57.24,126.22
2011-12-06,121.39,57.08,126.26
2011-12-07,122.07,57.08,126.73
2011-12-08,119.94,56.12,123.95
2011-12-09,121.78,57.02,126.05
2011-12-10,121.78,57.02,126.05
2011-12-11,121.78,57.02,126.05
2011-12-12,120.24,56.38,124.21
2011-12-13,119.51,55.76,123.05
2011-12-14,118.32,54.89,121.74
2011-12-15,118.81,54.74,122.185
2011-12-16,118.22,54.86,121.59
2011-12-17,118.22,54.86,121.59
2011-12-18,118.22,54.86,121.59
2011-12-19,117.36,54.32,120.29
2011-12-20,120.68,55.93,123.93
2011-12-21,120.81,55.13,124.17
2011-12-22,121.53,55.6,125.27
2011-12-23,122.63,56.08,126.39
2011-12-24,122.63,56.08,126.39
2011-12-25,122.63,56.08,126.39
2011-12-26,122.63,56.08,126.39
2011-12-27,122.67,56.24,126.49
2011-12-28,121.247125,55.59,124.83
2011-12-29,122.52,55.99,126.12
2011-12-30,121.85,55.83,125.5
2011-12-31,121.85,55.83,125.5
2012-01-01,121.85,55.83,125.5
2012-01-02,121.85,55.83,125.5
2012-01-03,123.63,56.9,127.495
2012-01-04,123.97,57.14,127.7
2012-01-05,123.95,57.61,128.04
2012-01-06,123.53,57.81,127.71
2012-01-07,123.53,57.81,127.71
2012-01-08,123.53,57.81,127.71
2012-01-09,123.66,57.62,128.02
2012-01-10,124.38,58.04,129.13
2012-01-11,124.29,58.16,129.2
2012-01-12,124.53,58.39,129.51
2012-01-13,124.16,58.18,128.84
2012-01-14,124.16,58.18,128.84
